                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.7662,                0.60744,                0.87821,                0.95498,                0.89909,                 0.9408,                 0.6145,                 1.2917,                 0.8246,                 1.0303,              0.0008878,              0.0008878,              0.0008878
                     36,                0.75103,                0.60389,                0.87078,                0.95123,                0.91068,                0.95493,                 0.6454,                 1.2266,                0.67667,                0.99446,              0.0008845,              0.0008845,              0.0008845
                     37,                0.76414,                0.59318,                 0.8691,                0.84006,                0.76782,                0.82679,                0.51241,                 1.4663,                0.97457,                 1.0869,              0.0008812,              0.0008812,              0.0008812
                     38,                0.76066,                0.60764,                0.86966,                0.86689,                 0.8095,                0.85722,                0.55232,                  1.361,                0.97301,                 1.0215,              0.0008779,              0.0008779,              0.0008779
                     39,                0.75411,                0.59431,                0.87042,                0.91539,                0.91181,                0.94137,                0.63725,                 1.2089,                0.74522,                 0.9792,              0.0008746,              0.0008746,              0.0008746
                     40,                0.72985,                0.56424,                0.86799,                0.94672,                0.89919,                0.94516,                0.64098,                 1.2039,                0.70368,                0.98221,              0.0008713,              0.0008713,              0.0008713
                     41,                0.74833,                 0.5917,                0.87586,                0.95286,                0.87054,                0.92316,                0.60453,                 1.3806,                0.72371,                 1.0676,               0.000868,               0.000868,               0.000868
                     42,                0.75301,                0.57011,                0.86937,                0.92449,                 0.8472,                0.89802,                0.57205,                 1.4133,                0.79693,                 1.0755,              0.0008647,              0.0008647,              0.0008647
                     43,                0.75887,                0.56846,                0.88024,                0.96017,                0.94138,                0.96455,                0.65826,                 1.2348,                0.58745,                 1.0071,              0.0008614,              0.0008614,              0.0008614
                     44,                0.78784,                 0.5729,                0.87386,                0.95756,                0.93578,                0.96288,                0.65672,                 1.2248,                0.59188,                0.98023,              0.0008581,              0.0008581,              0.0008581
                     45,                0.75868,                0.54642,                0.87454,                0.96436,                0.89716,                0.94066,                0.62265,                  1.295,                0.61485,                 1.0167,              0.0008548,              0.0008548,              0.0008548
                     46,                0.75956,                0.55708,                0.86886,                0.93871,                0.88203,                0.92623,                 0.6086,                 1.3384,                0.73752,                 1.0417,              0.0008515,              0.0008515,              0.0008515
                     47,                0.72983,                0.53363,                0.86292,                0.90676,                0.88927,                0.95619,                0.64386,                 1.2405,                0.67827,                 1.0018,              0.0008482,              0.0008482,              0.0008482
                     48,                0.72009,                0.54177,                0.86572,                 0.9214,                0.92087,                0.96694,                0.64284,                 1.2305,                0.68554,                0.98648,              0.0008449,              0.0008449,              0.0008449
                     49,                0.72005,                0.52618,                0.86423,                0.94377,                 0.9242,                0.96283,                0.65115,                 1.1983,                0.68662,                 0.9893,              0.0008416,              0.0008416,              0.0008416
                     50,                 0.7161,                0.51419,                0.86522,                0.94659,                0.93008,                0.96482,                0.66327,                 1.1755,                0.63447,                  0.988,              0.0008383,              0.0008383,              0.0008383
                     51,                0.72063,                0.54401,                0.87053,                0.87672,                0.84798,                0.90354,                0.59767,                 1.2549,                 0.7449,                 1.0017,               0.000835,               0.000835,               0.000835
                     52,                0.73713,                  0.537,                0.86427,                 0.9423,                0.93701,                0.97074,                0.66879,                 1.1982,                0.65889,                0.98882,              0.0008317,              0.0008317,              0.0008317
                     53,                0.70191,                0.53273,                 0.8651,                0.94476,                0.94348,                   0.97,                0.65653,                 1.2325,                0.67056,                0.99752,              0.0008284,              0.0008284,              0.0008284
                     54,                0.73005,                0.52955,                0.86672,                0.95816,                0.93325,                0.96593,                0.66655,                 1.1901,                0.64894,                0.99112,              0.0008251,              0.0008251,              0.0008251
                     55,                0.71813,                0.51849,                0.86756,                0.94352,                0.85786,                0.95066,                0.65204,                 1.1907,                0.65869,                0.98138,              0.0008218,              0.0008218,              0.0008218
                     56,                0.70676,                0.52638,                 0.8586,                0.96057,                0.92532,                0.95969,                0.66832,                 1.1781,                0.66844,                0.97205,              0.0008185,              0.0008185,              0.0008185
                     57,                0.72744,                0.52214,                0.86569,                0.95082,                0.92127,                0.94406,                0.63438,                  1.267,                0.63476,                 1.0278,              0.0008152,              0.0008152,              0.0008152
                     58,                0.73057,                0.52045,                0.87087,                0.92472,                 0.9121,                0.94626,                0.65203,                  1.211,                0.67052,                0.98943,              0.0008119,              0.0008119,              0.0008119
                     59,                0.69914,                0.50403,                0.85868,                0.95345,                 0.8982,                0.94769,                0.64245,                  1.246,                0.62415,                0.99608,              0.0008086,              0.0008086,              0.0008086
                     60,                0.72469,                0.50844,                0.86507,                0.93486,                0.89229,                0.92895,                0.59497,                  1.379,                0.66371,                 1.0666,              0.0008053,              0.0008053,              0.0008053
                     61,                0.71219,                0.50866,                0.86528,                0.94038,                0.91065,                0.95033,                0.61744,                 1.3024,                0.63003,                 1.0284,               0.000802,               0.000802,               0.000802
                     62,                0.69207,                0.49058,                 0.8546,                0.94617,                 0.9349,                0.96059,                0.65693,                 1.2004,                0.62312,                0.98555,              0.0007987,              0.0007987,              0.0007987
                     63,                0.71841,                0.51246,                0.86349,                0.95662,                0.96212,                0.97556,                0.67784,                 1.1955,                0.58851,                0.98544,              0.0007954,              0.0007954,              0.0007954
                     64,                0.72599,                0.50584,                 0.8582,                0.96259,                0.93111,                0.96932,                0.66954,                 1.1837,                0.62479,                0.98037,              0.0007921,              0.0007921,              0.0007921
                     65,                0.69825,                0.49139,                0.85766,                0.96688,                0.91525,                0.95513,                0.64444,                 1.2435,                0.61902,                 1.0105,              0.0007888,              0.0007888,              0.0007888
                     66,                0.69465,                0.48978,                0.85955,                0.94656,                0.91085,                 0.9538,                0.66047,                 1.1923,                0.64428,                0.97949,              0.0007855,              0.0007855,              0.0007855
                     67,                0.70001,                0.49614,                0.85765,                0.95272,                0.94203,                0.96597,                0.67357,                 1.1618,                0.60055,                0.97517,              0.0007822,              0.0007822,              0.0007822
                     68,                0.74542,                0.50916,                0.87028,                0.96519,                0.94622,                0.96992,                0.68248,                 1.1711,                0.59731,                0.97959,              0.0007789,              0.0007789,              0.0007789
                     69,                0.71541,                0.48689,                0.86248,                0.96199,                0.93459,                0.96766,                0.66827,                 1.2227,                0.55871,                0.99521,              0.0007756,              0.0007756,              0.0007756
                     70,                  0.714,                0.48978,                0.85747,                0.97082,                0.95023,                0.97422,                0.67919,                  1.208,                0.55577,                0.98968,              0.0007723,              0.0007723,              0.0007723
                     71,                0.71535,                0.49128,                0.86136,                0.95485,                0.94313,                0.96935,                0.67137,                 1.2206,                0.57226,                0.99701,               0.000769,               0.000769,               0.000769
                     72,                0.69623,                0.47373,                0.85762,                0.96975,                0.95172,                0.97338,                0.68088,                 1.1832,                0.54955,                0.98586,              0.0007657,              0.0007657,              0.0007657
                     73,                 0.6871,                0.46469,                0.85524,                 0.9654,                0.94978,                0.97129,                0.68035,                 1.1626,                0.58848,                0.97929,              0.0007624,              0.0007624,              0.0007624
                     74,                0.68383,                0.48031,                0.85763,                0.96888,                0.96001,                0.97536,                0.67886,                 1.1861,                0.55722,                0.98955,              0.0007591,              0.0007591,              0.0007591
                     75,                0.70613,                0.49432,                0.86407,                0.93788,                0.94142,                0.95709,                0.64398,                 1.2461,                0.57658,                 1.0024,              0.0007558,              0.0007558,              0.0007558
                     76,                0.68916,                0.48119,                 0.8554,                 0.9313,                0.93691,                0.96983,                0.66529,                 1.1968,                0.58837,                0.99281,              0.0007525,              0.0007525,              0.0007525
                     77,                 0.7068,                0.48512,                0.86271,                 0.7924,                0.83537,                0.86644,                0.55546,                 1.3447,                0.83375,                 1.0325,              0.0007492,              0.0007492,              0.0007492
