                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8612,                 7.2449,                 5.0307,                      0,                      0,                      0,                      0,                  4.143,                 5.7262,                 4.1611,                0.00014,                0.00014,                0.00014
                      2,                 3.3265,                 5.9482,                 4.0844,                      0,                      0,                      0,                      0,                 4.1119,                 5.7257,                 4.1354,             0.00028904,             0.00028904,             0.00028904
                      3,                 2.7541,                 4.6966,                 3.4551,                      0,                      0,                      0,                      0,                 3.6272,                 5.7036,                 3.8519,              0.0004371,              0.0004371,              0.0004371
                      4,                 2.3226,                  3.362,                 2.9034,                      0,                      0,                      0,                      0,                 2.9214,                 5.1631,                 3.4115,             0.00058416,             0.00058416,             0.00058416
                      5,                 1.9905,                 2.7179,                 2.5179,                0.00021,                0.03369,                0.02926,                0.01598,                 1.9067,                 4.4146,                 2.6395,             0.00073023,             0.00073023,             0.00073023
                      6,                 1.7466,                 2.3777,                 2.1845,                0.96229,                0.07551,                0.38836,                0.16851,                 1.8478,                 3.4738,                 2.5282,             0.00087531,             0.00087531,             0.00087531
                      7,                 1.5669,                 2.1342,                 1.9567,                0.73001,                0.33838,                0.57289,                0.30484,                 1.6864,                 2.4298,                 2.1208,              0.0009802,              0.0009802,              0.0009802
                      8,                  1.453,                 1.9659,                 1.7707,                0.67084,                0.63221,                0.68878,                0.36921,                 1.7067,                 1.9063,                 2.0316,              0.0009769,              0.0009769,              0.0009769
                      9,                 1.3253,                 1.7344,                 1.6341,                0.67906,                0.70224,                0.78434,                0.44302,                 1.5767,                  1.486,                 1.8469,              0.0009736,              0.0009736,              0.0009736
                     10,                 1.3496,                 1.6821,                 1.6023,                0.78682,                0.80047,                0.86404,                0.50604,                 1.4568,                 1.3776,                 1.6741,              0.0009703,              0.0009703,              0.0009703
                     11,                 1.2343,                 1.5348,                 1.5018,                0.81736,                0.80188,                0.87848,                0.52913,                 1.4447,                 1.1994,                    1.7,               0.000967,               0.000967,               0.000967
                     12,                 1.2106,                 1.4818,                 1.4708,                0.80811,                0.79553,                0.86191,                0.53788,                 1.3959,                 1.4598,                 1.6148,              0.0009637,              0.0009637,              0.0009637
                     13,                 1.1543,                 1.3777,                 1.4116,                0.84284,                0.81648,                 0.8973,                0.55867,                 1.3903,                  1.187,                 1.5951,              0.0009604,              0.0009604,              0.0009604
                     14,                 1.1198,                 1.3547,                 1.3679,                0.89186,                0.82332,                0.91487,                0.57964,                 1.3315,                 1.1415,                 1.5296,              0.0009571,              0.0009571,              0.0009571
                     15,                 1.1053,                 1.2224,                 1.3361,                0.90655,                 0.8256,                0.92323,                0.58008,                 1.3498,                 1.0605,                 1.5514,              0.0009538,              0.0009538,              0.0009538
                     16,                 1.1716,                 1.2441,                 1.3756,                0.93663,                 0.8607,                0.93159,                0.57964,                 1.3737,                0.98711,                 1.5719,              0.0009505,              0.0009505,              0.0009505
                     17,                 1.0909,                  1.211,                 1.3476,                0.91771,                0.87315,                0.93448,                0.53069,                  1.533,                 1.0137,                 1.6803,              0.0009472,              0.0009472,              0.0009472
                     18,                 1.1293,                  1.161,                 1.3346,                0.90303,                0.86864,                0.92909,                0.57113,                 1.3567,                0.94498,                 1.5221,              0.0009439,              0.0009439,              0.0009439
                     19,                 1.1144,                 1.1084,                 1.3181,                0.91494,                0.81733,                0.90602,                0.53809,                 1.4984,                 1.0986,                 1.6544,              0.0009406,              0.0009406,              0.0009406
                     20,                 1.0976,                 1.1325,                 1.3183,                0.92224,                0.87257,                0.92335,                0.56876,                 1.3692,                0.97925,                  1.549,              0.0009373,              0.0009373,              0.0009373
                     21,                 1.0132,                 1.0358,                 1.2485,                0.91832,                0.90583,                0.95256,                0.62404,                 1.2585,                0.89482,                 1.4435,               0.000934,               0.000934,               0.000934
                     22,                 1.0493,                 1.0461,                 1.2507,                0.90186,                0.89931,                0.94321,                 0.5892,                 1.3413,                0.91181,                 1.4847,              0.0009307,              0.0009307,              0.0009307
                     23,                0.99257,                 1.0098,                  1.222,                0.94837,                0.89725,                0.95736,                0.61279,                 1.3197,                0.85436,                 1.4817,              0.0009274,              0.0009274,              0.0009274
                     24,                0.98884,                0.98404,                 1.2225,                0.90763,                0.87294,                0.91685,                0.56099,                 1.4514,                0.94736,                 1.5755,              0.0009241,              0.0009241,              0.0009241
                     25,                0.97268,                0.98543,                 1.2146,                0.89879,                0.84556,                 0.9065,                0.59576,                 1.2923,                0.91104,                 1.4417,              0.0009208,              0.0009208,              0.0009208
                     26,                0.94573,                0.94546,                 1.1928,                0.84166,                0.79843,                0.84371,                0.49031,                 1.5836,                 1.1177,                 1.6758,              0.0009175,              0.0009175,              0.0009175
                     27,                0.96015,                0.90316,                  1.202,                0.91885,                0.84703,                0.89173,                0.56001,                 1.3975,                0.96346,                 1.5708,              0.0009142,              0.0009142,              0.0009142
                     28,                0.98467,                0.94055,                 1.2107,                 0.9188,                0.90661,                0.93369,                0.60347,                 1.3524,                0.81642,                 1.5146,              0.0009109,              0.0009109,              0.0009109
                     29,                 0.9513,                0.88236,                 1.1989,                0.81373,                0.77664,                0.83991,                0.54097,                 1.4068,                 1.1451,                 1.5303,              0.0009076,              0.0009076,              0.0009076
                     30,                0.98272,                0.87877,                 1.2021,                0.92507,                0.88527,                0.93523,                0.60657,                 1.3349,                0.86226,                 1.4751,              0.0009043,              0.0009043,              0.0009043
                     31,                0.96108,                0.89189,                 1.1858,                0.95919,                0.91052,                0.96553,                0.63229,                 1.2698,                0.78998,                 1.4272,               0.000901,               0.000901,               0.000901
                     32,                0.97796,                0.89956,                 1.2041,                0.95075,                0.89819,                 0.9483,                0.62782,                 1.2691,                0.82531,                 1.4265,              0.0008977,              0.0008977,              0.0008977
                     33,                0.95089,                0.87691,                 1.1906,                0.94073,                0.91174,                0.96653,                0.61488,                 1.3067,                0.83692,                   1.45,              0.0008944,              0.0008944,              0.0008944
                     34,                0.95035,                0.85396,                 1.1779,                0.94973,                 0.9258,                0.97131,                0.64665,                 1.2307,                0.78589,                 1.4003,              0.0008911,              0.0008911,              0.0008911
                     35,                0.94041,                0.85451,                 1.1742,                0.93291,                0.87214,                0.93924,                0.59479,                 1.3493,                0.85736,                 1.4882,              0.0008878,              0.0008878,              0.0008878
                     36,                0.94506,                0.83576,                 1.1659,                 0.9514,                0.91071,                0.95897,                0.62575,                 1.2817,                0.79886,                 1.4318,              0.0008845,              0.0008845,              0.0008845
                     37,                0.91864,                0.79544,                 1.1563,                0.94859,                 0.9321,                0.97758,                0.65291,                  1.237,                0.76109,                 1.3988,              0.0008812,              0.0008812,              0.0008812
                     38,                0.91474,                0.80192,                 1.1475,                0.93701,                0.88853,                 0.9193,                0.57053,                 1.4549,                0.81371,                 1.5916,              0.0008779,              0.0008779,              0.0008779
                     39,                0.87508,                0.79376,                 1.1404,                0.93833,                0.80211,                0.88631,                0.58529,                 1.2892,                0.94742,                 1.4516,              0.0008746,              0.0008746,              0.0008746
                     40,                0.90334,                0.79829,                 1.1538,                0.95994,                0.89921,                 0.9518,                0.60385,                 1.3656,                0.74208,                 1.5341,              0.0008713,              0.0008713,              0.0008713
                     41,                0.88199,                0.77606,                 1.1379,                0.95235,                0.88826,                0.93943,                0.60244,                 1.3291,                0.79933,                 1.4967,               0.000868,               0.000868,               0.000868
                     42,                0.90778,                0.79376,                  1.147,                0.96537,                0.90101,                0.96238,                0.63476,                 1.2958,                0.71656,                 1.4235,              0.0008647,              0.0008647,              0.0008647
                     43,                0.90179,                 0.7889,                 1.1436,                0.91326,                0.82749,                0.92888,                0.58213,                 1.4062,                0.97048,                 1.5105,              0.0008614,              0.0008614,              0.0008614
                     44,                0.92184,                0.82007,                 1.1722,                0.92651,                 0.8031,                0.89594,                0.60385,                 1.2923,                0.96811,                 1.4197,              0.0008581,              0.0008581,              0.0008581
                     45,                0.90355,                0.75864,                  1.141,                0.94806,                0.85936,                  0.934,                0.62455,                 1.2737,                0.80176,                  1.409,              0.0008548,              0.0008548,              0.0008548
                     46,                0.85746,                0.74748,                 1.1177,                0.94012,                0.88139,                0.94527,                0.61976,                 1.2972,                0.76384,                 1.4429,              0.0008515,              0.0008515,              0.0008515
                     47,                0.88796,                0.75471,                 1.1341,                0.95807,                0.91952,                0.97612,                0.65612,                 1.2443,                0.71369,                 1.4056,              0.0008482,              0.0008482,              0.0008482
                     48,                0.89272,                 0.7347,                 1.1347,                0.93238,                0.93966,                0.96808,                0.64221,                 1.2442,                0.71389,                 1.3992,              0.0008449,              0.0008449,              0.0008449
                     49,                0.87449,                0.72897,                 1.1065,                0.95916,                0.92837,                0.96785,                0.65375,                 1.2185,                0.67826,                 1.3789,              0.0008416,              0.0008416,              0.0008416
                     50,                0.86307,                0.73036,                 1.1157,                0.96037,                0.88667,                0.95498,                0.63766,                 1.2791,                0.73754,                 1.4147,              0.0008383,              0.0008383,              0.0008383
                     51,                0.87006,                0.72579,                 1.1201,                0.93545,                0.89976,                0.94793,                0.59395,                 1.3969,                0.90311,                 1.5157,               0.000835,               0.000835,               0.000835
                     52,                0.89177,                0.74039,                 1.1298,                0.95341,                0.91438,                0.96221,                0.64305,                 1.2513,                0.75368,                 1.3881,              0.0008317,              0.0008317,              0.0008317
                     53,                  0.894,                0.71709,                 1.1236,                0.95939,                 0.9117,                0.96293,                0.65203,                  1.233,                0.73367,                 1.3819,              0.0008284,              0.0008284,              0.0008284
                     54,                0.89145,                0.75234,                 1.1372,                0.90193,                0.89967,                0.94204,                0.62211,                 1.2585,                0.75371,                 1.3989,              0.0008251,              0.0008251,              0.0008251
                     55,                0.86479,                0.72985,                 1.1058,                0.95533,                0.92866,                0.97506,                0.64722,                 1.2524,                0.67581,                 1.4086,              0.0008218,              0.0008218,              0.0008218
                     56,                0.92167,                 0.7499,                 1.1493,                0.94779,                0.88154,                0.93081,                0.60537,                 1.3442,                0.72729,                 1.4858,              0.0008185,              0.0008185,              0.0008185
                     57,                0.84949,                0.70041,                 1.1054,                0.97039,                0.94771,                0.97351,                0.65329,                 1.2529,                0.64963,                 1.4163,              0.0008152,              0.0008152,              0.0008152
                     58,                0.87344,                0.67774,                  1.113,                 0.9642,                0.93173,                 0.9739,                0.64642,                 1.2664,                0.66466,                 1.4163,              0.0008119,              0.0008119,              0.0008119
                     59,                0.84531,                0.69468,                 1.0972,                0.95692,                 0.9218,                0.96043,                0.61904,                 1.3156,                 0.7423,                 1.4538,              0.0008086,              0.0008086,              0.0008086
                     60,                0.91305,                0.71223,                 1.1316,                 0.9346,                0.85886,                0.91255,                0.59278,                 1.3639,                0.85603,                 1.5029,              0.0008053,              0.0008053,              0.0008053
                     61,                0.89607,                0.70101,                 1.1258,                0.95259,                0.89037,                0.93115,                0.63823,                 1.2143,                0.72613,                 1.3777,               0.000802,               0.000802,               0.000802
                     62,                0.84375,                0.67176,                 1.1097,                 0.9464,                0.88796,                0.96039,                0.64926,                 1.2509,                0.75594,                 1.3933,              0.0007987,              0.0007987,              0.0007987
                     63,                0.80874,                0.65848,                 1.0735,                0.95697,                0.92709,                0.95861,                0.63845,                 1.2796,                0.67928,                  1.422,              0.0007954,              0.0007954,              0.0007954
                     64,                 0.8378,                0.68386,                 1.0962,                0.96106,                0.93586,                0.96435,                0.64483,                 1.2325,                0.66025,                 1.3973,              0.0007921,              0.0007921,              0.0007921
                     65,                0.82395,                0.69532,                  1.097,                0.93144,                0.91611,                0.94222,                0.61949,                 1.3125,                0.68026,                 1.4582,              0.0007888,              0.0007888,              0.0007888
                     66,                0.83454,                0.66622,                 1.0928,                0.96985,                0.89496,                0.93894,                0.63305,                 1.2869,                0.74431,                 1.3993,              0.0007855,              0.0007855,              0.0007855
                     67,                0.84767,                0.66286,                 1.0971,                0.95185,                0.90936,                0.94911,                0.63272,                 1.3029,                0.66219,                 1.4222,              0.0007822,              0.0007822,              0.0007822
                     68,                0.84361,                0.67228,                 1.1059,                0.98159,                0.94505,                0.97823,                0.66871,                 1.1963,                  0.611,                 1.3668,              0.0007789,              0.0007789,              0.0007789
                     69,                0.83186,                0.66641,                 1.0971,                0.97249,                0.93442,                0.97426,                0.64411,                 1.2542,                0.66354,                 1.4038,              0.0007756,              0.0007756,              0.0007756
                     70,                0.85714,                0.64799,                 1.1034,                0.90819,                0.87703,                0.92318,                0.60078,                 1.3016,                0.79083,                 1.4605,              0.0007723,              0.0007723,              0.0007723
                     71,                0.81884,                 0.6301,                 1.0873,                0.97386,                0.90762,                0.95907,                0.65322,                 1.2042,                0.68333,                 1.3653,               0.000769,               0.000769,               0.000769
                     72,                0.82807,                0.64415,                 1.0849,                0.93948,                 0.9017,                0.93955,                0.63191,                 1.2615,                 0.6879,                 1.4265,              0.0007657,              0.0007657,              0.0007657
                     73,                  0.807,                0.62336,                 1.0811,                0.95942,                0.92627,                0.95787,                0.63644,                 1.2939,                 0.6333,                  1.425,              0.0007624,              0.0007624,              0.0007624
                     74,                0.82302,                0.63566,                 1.0971,                0.91427,                0.83737,                0.89445,                 0.5836,                 1.3562,                0.86246,                 1.4912,              0.0007591,              0.0007591,              0.0007591
                     75,                 0.8038,                0.63826,                 1.0826,                0.85282,                 0.7159,                0.78405,                0.52032,                 1.3932,                 1.1838,                 1.5133,              0.0007558,              0.0007558,              0.0007558
                     76,                0.82629,                 0.6202,                 1.0687,                  0.971,                 0.9228,                0.95424,                0.63476,                  1.293,                 0.6378,                 1.4459,              0.0007525,              0.0007525,              0.0007525
                     77,                0.80639,                0.61362,                 1.0673,                0.97308,                0.95203,                0.97856,                0.65971,                 1.2383,                0.59684,                 1.3944,              0.0007492,              0.0007492,              0.0007492
                     78,                0.82479,                 0.6447,                 1.0938,                0.88264,                 0.8083,                0.90671,                0.61066,                 1.2363,                0.86233,                 1.3792,              0.0007459,              0.0007459,              0.0007459
                     79,                0.81378,                0.62971,                 1.0745,                0.96431,                0.93395,                0.96673,                 0.6524,                 1.2463,                0.60501,                 1.4023,              0.0007426,              0.0007426,              0.0007426
                     80,                0.79577,                0.62071,                 1.0683,                0.96733,                0.94769,                0.96793,                 0.6535,                 1.2499,                0.60703,                 1.4091,              0.0007393,              0.0007393,              0.0007393
                     81,                0.79489,                0.61038,                 1.0726,                0.94213,                0.89526,                0.95464,                0.64867,                 1.2537,                0.70568,                 1.4089,               0.000736,               0.000736,               0.000736
                     82,                0.81515,                0.62841,                 1.0738,                0.97893,                0.94917,                0.97974,                0.66877,                 1.1943,                0.60474,                 1.3607,              0.0007327,              0.0007327,              0.0007327
                     83,                0.79663,                0.59872,                 1.0657,                0.96801,                0.91388,                0.97484,                 0.6655,                   1.21,                0.62205,                  1.369,              0.0007294,              0.0007294,              0.0007294
                     84,                0.78531,                0.60667,                 1.0672,                0.94557,                0.86994,                0.95379,                 0.6308,                 1.2904,                 0.6569,                 1.4448,              0.0007261,              0.0007261,              0.0007261
                     85,                0.80003,                0.59766,                 1.0773,                0.91189,                0.81091,                0.87147,                0.58834,                   1.28,                0.79139,                 1.4145,              0.0007228,              0.0007228,              0.0007228
                     86,                0.80625,                0.60703,                 1.0719,                0.92968,                 0.8745,                0.94964,                0.64942,                 1.2256,                0.74241,                 1.3676,              0.0007195,              0.0007195,              0.0007195
                     87,                0.76553,                0.57825,                 1.0579,                0.95028,                0.92036,                 0.9642,                0.65953,                 1.2188,                0.65403,                 1.3794,              0.0007162,              0.0007162,              0.0007162
                     88,                0.79778,                0.59401,                  1.058,                0.96853,                0.93976,                0.97771,                0.66322,                 1.1992,                0.62727,                 1.3809,              0.0007129,              0.0007129,              0.0007129
                     89,                 0.8119,                0.59905,                 1.0706,                0.95023,                0.87579,                0.92787,                 0.6338,                 1.2496,                0.62431,                 1.3882,              0.0007096,              0.0007096,              0.0007096
                     90,                0.78486,                0.58019,                 1.0585,                0.96771,                0.79333,                0.87311,                0.58626,                 1.3152,                0.92605,                 1.4734,              0.0007063,              0.0007063,              0.0007063
                     91,                0.79401,                0.60102,                 1.0836,                0.97027,                0.90247,                0.95998,                0.64997,                 1.2691,                0.59531,                 1.4079,               0.000703,               0.000703,               0.000703
                     92,                0.79957,                0.59507,                 1.0768,                0.97428,                0.93908,                0.96714,                0.65338,                 1.2416,                0.59388,                 1.3944,              0.0006997,              0.0006997,              0.0006997
                     93,                0.80206,                0.59066,                 1.0858,                0.96889,                0.93753,                0.97286,                0.67829,                 1.1908,                0.58786,                 1.3647,              0.0006964,              0.0006964,              0.0006964
                     94,                0.78792,                0.56886,                 1.0567,                0.98148,                0.94017,                0.97311,                0.66167,                 1.2218,                0.56878,                  1.385,              0.0006931,              0.0006931,              0.0006931
                     95,                0.78675,                0.57547,                 1.0479,                0.94043,                0.90161,                0.94874,                 0.6275,                 1.3012,                0.60506,                 1.4416,              0.0006898,              0.0006898,              0.0006898
                     96,                0.78256,                0.58621,                 1.0497,                0.92859,                0.87853,                0.92239,                0.60618,                  1.317,                0.66106,                  1.442,              0.0006865,              0.0006865,              0.0006865
                     97,                0.77991,                0.58693,                 1.0529,                0.93386,                0.82697,                 0.8972,                 0.6119,                 1.2638,                 0.7772,                 1.4085,              0.0006832,              0.0006832,              0.0006832
                     98,                0.81427,                0.59087,                 1.0814,                 0.9277,                0.74371,                0.87287,                0.58051,                 1.3326,                 0.9871,                 1.4777,              0.0006799,              0.0006799,              0.0006799
                     99,                0.76213,                0.56504,                 1.0318,                0.96974,                0.91115,                 0.9482,                0.65076,                 1.2528,                0.59795,                 1.4178,              0.0006766,              0.0006766,              0.0006766
                    100,                0.78296,                0.58175,                 1.0576,                0.86293,                0.85622,                0.89342,                 0.6052,                 1.3021,                0.92931,                 1.4424,              0.0006733,              0.0006733,              0.0006733
                    101,                0.76994,                0.58171,                 1.0573,                0.95954,                0.94462,                0.97033,                0.67199,                 1.1981,                0.58564,                 1.3608,                0.00067,                0.00067,                0.00067
                    102,                0.76873,                0.56471,                  1.055,                0.94484,                0.89026,                0.95051,                0.64429,                 1.2459,                 0.6647,                 1.3835,              0.0006667,              0.0006667,              0.0006667
                    103,                0.78858,                0.59169,                 1.0599,                0.99028,                0.95212,                0.98412,                0.66847,                 1.2202,                0.54468,                 1.3676,              0.0006634,              0.0006634,              0.0006634
                    104,                0.77674,                0.58362,                 1.0585,                0.94678,                0.92752,                  0.977,                0.66422,                 1.2147,                0.62184,                 1.3793,              0.0006601,              0.0006601,              0.0006601
                    105,                0.76723,                0.56128,                 1.0569,                0.94982,                 0.9155,                0.95003,                0.63809,                 1.2846,                0.60554,                  1.427,              0.0006568,              0.0006568,              0.0006568
                    106,                0.76858,                0.56302,                 1.0576,                0.97886,                0.92497,                0.98121,                 0.6763,                 1.1925,                0.56396,                 1.3589,              0.0006535,              0.0006535,              0.0006535
                    107,                0.75843,                 0.5564,                  1.046,                0.94653,                0.90558,                 0.9522,                0.65001,                 1.2284,                0.64655,                 1.3789,              0.0006502,              0.0006502,              0.0006502
                    108,                0.82967,                0.57222,                 1.0798,                0.96574,                 0.9272,                0.97305,                0.65999,                 1.2178,                0.58779,                 1.3779,              0.0006469,              0.0006469,              0.0006469
                    109,                0.75623,                0.54486,                 1.0431,                0.96379,                0.93732,                0.97452,                0.66755,                 1.2067,                0.58519,                 1.3543,              0.0006436,              0.0006436,              0.0006436
                    110,                0.74725,                0.54652,                 1.0425,                0.92573,                0.94116,                0.97429,                0.66875,                 1.2171,                0.59096,                 1.3675,              0.0006403,              0.0006403,              0.0006403
                    111,                0.77866,                0.58212,                 1.0575,                0.96653,                0.96507,                0.98118,                0.66866,                 1.2167,                0.54382,                 1.3672,               0.000637,               0.000637,               0.000637
                    112,                0.77346,                0.56583,                 1.0569,                0.98737,                0.96748,                0.98868,                0.67864,                 1.1999,                0.53649,                 1.3674,              0.0006337,              0.0006337,              0.0006337
                    113,                0.75283,                0.54828,                 1.0493,                0.97137,                0.83429,                0.92857,                0.63059,                 1.2403,                 0.6547,                 1.3887,              0.0006304,              0.0006304,              0.0006304
                    114,                0.75817,                0.55808,                 1.0401,                0.96708,                 0.9527,                0.98462,                0.67997,                 1.1781,                0.55853,                 1.3499,              0.0006271,              0.0006271,              0.0006271
                    115,                0.77392,                0.55935,                  1.058,                0.95003,                0.93654,                0.95869,                0.64581,                 1.2799,                 0.5807,                 1.4468,              0.0006238,              0.0006238,              0.0006238
                    116,                0.76089,                0.54148,                 1.0444,                0.96876,                0.95407,                  0.982,                0.67055,                 1.2059,                0.53588,                 1.3623,              0.0006205,              0.0006205,              0.0006205
                    117,                0.72935,                0.53356,                  1.035,                0.96047,                0.95913,                0.98226,                0.67052,                 1.2022,                0.55515,                   1.36,              0.0006172,              0.0006172,              0.0006172
                    118,                0.76193,                0.54164,                 1.0547,                0.97362,                0.75264,                0.84811,                0.57455,                 1.3402,                0.96597,                 1.4722,              0.0006139,              0.0006139,              0.0006139
                    119,                0.77876,                0.55014,                 1.0551,                0.93854,                0.78726,                0.85041,                0.57943,                 1.2734,                0.91509,                 1.4227,              0.0006106,              0.0006106,              0.0006106
                    120,                0.76461,                0.54563,                 1.0509,                0.94834,                0.88653,                0.92999,                 0.6422,                 1.2442,                0.63573,                 1.3924,              0.0006073,              0.0006073,              0.0006073
                    121,                0.74987,                0.54151,                 1.0406,                0.96357,                0.91995,                0.95743,                0.64974,                 1.2405,                0.58956,                 1.3868,               0.000604,               0.000604,               0.000604
                    122,                0.74557,                0.53418,                 1.0376,                0.97141,                0.95803,                0.98131,                0.67823,                 1.1872,                0.54663,                 1.3589,              0.0006007,              0.0006007,              0.0006007
                    123,                0.71879,                0.52669,                 1.0214,                0.97118,                0.96047,                0.98082,                0.67159,                  1.207,                0.53149,                 1.3528,              0.0005974,              0.0005974,              0.0005974
                    124,                 0.7367,                0.52417,                 1.0295,                0.97101,                0.93292,                0.97709,                0.66865,                 1.1909,                0.57639,                 1.3668,              0.0005941,              0.0005941,              0.0005941
                    125,                0.73114,                 0.5175,                 1.0411,                0.98724,                0.91648,                 0.9612,                0.65961,                 1.2225,                0.54773,                 1.3893,              0.0005908,              0.0005908,              0.0005908
                    126,                0.73794,                0.52006,                 1.0282,                 0.9846,                0.96073,                0.98171,                0.67535,                 1.1947,                0.53778,                 1.3634,              0.0005875,              0.0005875,              0.0005875
                    127,                0.75455,                0.52866,                 1.0506,                 0.9636,                 0.9478,                0.97102,                0.67031,                 1.2107,                0.53639,                 1.3762,              0.0005842,              0.0005842,              0.0005842
                    128,                0.74484,                0.52296,                  1.046,                0.96603,                0.93124,                0.96747,                0.65618,                 1.2245,                0.59911,                 1.3822,              0.0005809,              0.0005809,              0.0005809
                    129,                0.76411,                0.54031,                 1.0498,                0.76267,                0.67978,                0.72155,                0.47512,                 1.4292,                 1.7202,                 1.5362,              0.0005776,              0.0005776,              0.0005776
                    130,                0.74902,                0.53564,                 1.0324,                0.96978,                0.93351,                0.97055,                0.67354,                 1.1769,                0.57822,                 1.3376,              0.0005743,              0.0005743,              0.0005743
                    131,                0.74595,                0.52692,                 1.0351,                0.95527,                0.88729,                0.95523,                 0.6408,                  1.243,                 0.6387,                 1.3957,               0.000571,               0.000571,               0.000571
                    132,                0.72085,                  0.518,                 1.0188,                0.96468,                0.93795,                0.97651,                0.66414,                 1.2354,                0.54269,                 1.3816,              0.0005677,              0.0005677,              0.0005677
                    133,                0.73069,                0.51862,                 1.0263,                0.81882,                 0.8244,                0.87283,                0.59009,                 1.2685,                 0.9054,                 1.4065,              0.0005644,              0.0005644,              0.0005644
                    134,                0.75889,                  0.537,                 1.0501,                0.96725,                0.93565,                0.97685,                 0.6708,                 1.2058,                0.55491,                 1.3629,              0.0005611,              0.0005611,              0.0005611
                    135,                0.72674,                 0.5176,                  1.029,                0.97941,                0.95734,                0.98501,                0.68021,                 1.1906,                0.51177,                 1.3579,              0.0005578,              0.0005578,              0.0005578
                    136,                0.74235,                  0.523,                 1.0261,                0.96905,                0.92294,                0.95884,                0.64899,                 1.2567,                0.54484,                 1.4144,              0.0005545,              0.0005545,              0.0005545
                    137,                0.76088,                0.51653,                 1.0396,                0.94932,                0.94605,                0.96414,                 0.6523,                 1.2521,                0.53873,                 1.4115,              0.0005512,              0.0005512,              0.0005512
                    138,                0.72635,                0.51352,                 1.0322,                0.97612,                0.91836,                0.96424,                0.66586,                 1.2236,                 0.5352,                 1.3928,              0.0005479,              0.0005479,              0.0005479
                    139,                0.75409,                0.51875,                 1.0461,                0.97275,                0.92179,                0.97453,                0.67814,                   1.18,                0.56945,                   1.34,              0.0005446,              0.0005446,              0.0005446
                    140,                 0.7432,                0.51859,                  1.035,                0.93201,                0.82188,                0.92675,                0.63431,                 1.2501,                0.69758,                 1.3919,              0.0005413,              0.0005413,              0.0005413
                    141,                0.72835,                 0.5089,                 1.0308,                0.97156,                0.92918,                0.97229,                0.66923,                  1.218,                0.53342,                 1.3676,               0.000538,               0.000538,               0.000538
                    142,                0.72982,                0.52119,                 1.0269,                0.97123,                0.91276,                0.96116,                0.66572,                 1.2055,                0.60193,                 1.3694,              0.0005347,              0.0005347,              0.0005347
                    143,                0.73811,                0.52085,                   1.04,                0.98441,                0.95222,                0.98559,                0.67971,                 1.1914,                0.52385,                 1.3613,              0.0005314,              0.0005314,              0.0005314
                    144,                0.71074,                0.50204,                 1.0115,                0.97623,                0.96876,                0.98914,                0.69011,                 1.1615,                0.49931,                 1.3426,              0.0005281,              0.0005281,              0.0005281
                    145,                0.72539,                0.51029,                 1.0157,                0.97332,                0.93751,                0.97908,                0.68083,                 1.1807,                 0.5389,                 1.3458,              0.0005248,              0.0005248,              0.0005248
                    146,                 0.7167,                0.49003,                 1.0223,                0.96622,                0.92254,                0.95673,                0.66007,                 1.2097,                0.58806,                 1.3884,              0.0005215,              0.0005215,              0.0005215
                    147,                0.72213,                0.49012,                 1.0262,                0.97625,                0.95879,                0.98772,                0.68968,                 1.1577,                0.50334,                 1.3291,              0.0005182,              0.0005182,              0.0005182
