                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0696,                 3.3919,                 1.3317,                0.97313,                0.94988,                 0.9834,                0.61601,                 1.3646,                 2.8704,                  1.593,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.0506,                 3.3088,                 1.3236,                0.95755,                  0.952,                0.97921,                 0.6419,                  1.271,                 3.1503,                 1.5323,              0.0006535,              0.0006535,              0.0006535
                     37,                  1.025,                 3.2723,                 1.3188,                0.95792,                0.89427,                0.96159,                0.61573,                  1.332,                 3.0926,                 1.5673,              0.0006436,              0.0006436,              0.0006436
                     38,                0.99983,                 3.1796,                 1.2988,                0.95851,                0.93552,                0.97443,                0.60108,                 1.4141,                 2.9297,                 1.6079,              0.0006337,              0.0006337,              0.0006337
                     39,                0.99125,                 3.1844,                 1.2785,                0.96086,                0.92557,                0.96044,                  0.576,                 1.4925,                 2.9335,                 1.6575,              0.0006238,              0.0006238,              0.0006238
                     40,                0.98423,                 3.1688,                 1.2715,                 0.9744,                0.96311,                0.98126,                0.62166,                 1.3454,                 2.7009,                 1.5484,              0.0006139,              0.0006139,              0.0006139
                     41,                0.99074,                 3.2141,                 1.2741,                 0.9015,                0.80283,                0.87952,                0.55003,                 1.4501,                 4.3637,                 1.6758,               0.000604,               0.000604,               0.000604
                     42,                0.96153,                 3.0896,                 1.2656,                0.95354,                 0.9235,                0.96594,                0.64682,                 1.2778,                 2.9676,                 1.5059,              0.0005941,              0.0005941,              0.0005941
                     43,                0.94798,                 2.9625,                 1.2724,                0.92555,                0.92147,                 0.9424,                0.55567,                 1.5093,                 2.9391,                 1.7049,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.0051,                 3.0727,                 1.2801,                0.94367,                0.94418,                0.97404,                0.62806,                 1.3502,                 2.7635,                 1.5644,              0.0005743,              0.0005743,              0.0005743
                     45,                0.97425,                 3.0125,                 1.2709,                0.95637,                0.88223,                0.93416,                0.57084,                  1.455,                 3.0463,                 1.7099,              0.0005644,              0.0005644,              0.0005644
                     46,                0.96004,                 2.9068,                 1.2762,                0.95011,                 0.9305,                0.95667,                0.60526,                 1.3869,                 2.7346,                 1.5889,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.0484,                 3.0417,                 1.2977,                0.96729,                0.94692,                0.97517,                0.64046,                 1.2934,                 2.5918,                 1.5144,              0.0005446,              0.0005446,              0.0005446
                     48,                0.94078,                  2.865,                 1.2471,                0.97104,                0.96712,                0.98501,                0.64675,                 1.2663,                 2.6373,                  1.497,              0.0005347,              0.0005347,              0.0005347
                     49,                0.96217,                 2.8912,                 1.2672,                0.95163,                 0.9414,                0.97428,                0.63854,                 1.2768,                 2.7406,                 1.5083,              0.0005248,              0.0005248,              0.0005248
                     50,                0.95189,                 2.8906,                 1.2445,                0.95921,                0.93005,                0.95672,                0.61663,                 1.3273,                 2.7481,                 1.5529,              0.0005149,              0.0005149,              0.0005149
                     51,                0.94537,                 2.8365,                 1.2407,                0.96282,                0.95506,                0.98154,                0.62457,                  1.341,                 2.5569,                  1.545,               0.000505,               0.000505,               0.000505
                     52,                0.89807,                  2.755,                  1.215,                0.97045,                0.94505,                0.97983,                0.64419,                 1.2693,                   2.54,                 1.5023,              0.0004951,              0.0004951,              0.0004951
                     53,                0.94974,                 2.8103,                 1.2386,                0.96807,                0.96257,                0.98527,                0.64715,                 1.2912,                 2.5162,                 1.5193,              0.0004852,              0.0004852,              0.0004852
                     54,                0.89794,                 2.7176,                 1.2253,                0.95622,                0.93314,                0.95824,                0.60643,                 1.3726,                  2.773,                 1.5902,              0.0004753,              0.0004753,              0.0004753
                     55,                0.93953,                 2.7157,                 1.2351,                 0.9716,                0.92224,                0.96352,                0.61543,                 1.3255,                 2.6763,                 1.5697,              0.0004654,              0.0004654,              0.0004654
                     56,                0.94238,                 2.7087,                 1.2381,                0.95665,                0.92936,                0.96852,                0.60137,                 1.4023,                 2.6352,                 1.6262,              0.0004555,              0.0004555,              0.0004555
                     57,                0.96373,                 2.7371,                   1.25,                0.95565,                0.91347,                0.95468,                0.60503,                 1.3669,                 2.6731,                 1.5786,              0.0004456,              0.0004456,              0.0004456
                     58,                0.93898,                 2.7128,                 1.2323,                0.96915,                0.93353,                0.97234,                0.61014,                 1.3664,                 2.6321,                 1.5787,              0.0004357,              0.0004357,              0.0004357
                     59,                0.90046,                 2.6574,                  1.227,                 0.9686,                0.96156,                0.98435,                0.64561,                 1.3038,                 2.4573,                 1.5089,              0.0004258,              0.0004258,              0.0004258
                     60,                0.94631,                 2.6526,                 1.2437,                0.97591,                0.96054,                0.98069,                0.61963,                 1.3843,                 2.4899,                 1.5905,              0.0004159,              0.0004159,              0.0004159
                     61,                0.90886,                 2.6269,                 1.2059,                  0.963,                0.95311,                0.97781,                0.64941,                 1.2619,                 2.5916,                 1.5044,               0.000406,               0.000406,               0.000406
                     62,                0.89231,                  2.664,                 1.2004,                0.96722,                0.95525,                0.97761,                0.64813,                 1.2974,                  2.529,                  1.512,              0.0003961,              0.0003961,              0.0003961
                     63,                0.87974,                 2.5594,                 1.2087,                0.96708,                0.93893,                0.97506,                0.64505,                  1.266,                 2.4645,                 1.4997,              0.0003862,              0.0003862,              0.0003862
                     64,                0.87561,                 2.5408,                 1.2008,                0.96717,                0.95596,                0.97926,                0.63751,                 1.3302,                 2.4135,                 1.5369,              0.0003763,              0.0003763,              0.0003763
                     65,                0.92185,                 2.6234,                 1.2112,                0.97479,                0.96458,                0.98204,                0.64133,                  1.326,                 2.4271,                 1.5511,              0.0003664,              0.0003664,              0.0003664
                     66,                0.88685,                 2.5909,                 1.1884,                0.96522,                0.94749,                0.97465,                0.63991,                 1.3003,                 2.4093,                 1.5327,              0.0003565,              0.0003565,              0.0003565
                     67,                0.85869,                 2.5406,                 1.1823,                0.97375,                0.94987,                0.98507,                0.66425,                 1.2474,                 2.3531,                 1.4665,              0.0003466,              0.0003466,              0.0003466
                     68,                0.83131,                 2.4383,                 1.1653,                0.97653,                0.96073,                0.98265,                0.65413,                 1.2522,                 2.4067,                 1.4761,              0.0003367,              0.0003367,              0.0003367
                     69,                0.87554,                 2.5459,                 1.2074,                0.98305,                0.94689,                0.98197,                0.65404,                 1.2505,                 2.3811,                 1.4684,              0.0003268,              0.0003268,              0.0003268
                     70,                0.86273,                 2.4181,                 1.1806,                0.96196,                0.94803,                0.96641,                0.61253,                  1.357,                 2.4038,                 1.5814,              0.0003169,              0.0003169,              0.0003169
                     71,                0.87001,                 2.4811,                 1.1916,                0.98116,                0.96347,                0.98439,                0.65478,                 1.2439,                 2.2592,                 1.4636,               0.000307,               0.000307,               0.000307
                     72,                0.86787,                 2.4449,                 1.1827,                0.97922,                0.96906,                 0.9876,                0.66718,                 1.2359,                 2.2674,                 1.4698,              0.0002971,              0.0002971,              0.0002971
                     73,                0.85719,                  2.433,                 1.1771,                0.98073,                0.97331,                0.98733,                0.65787,                 1.2497,                 2.2608,                 1.4878,              0.0002872,              0.0002872,              0.0002872
                     74,                0.87709,                 2.4743,                 1.1941,                0.98363,                0.95726,                0.98284,                0.64561,                 1.2458,                 2.2907,                 1.4686,              0.0002773,              0.0002773,              0.0002773
                     75,                0.83208,                 2.4131,                 1.1581,                0.98432,                0.96917,                0.98517,                0.66524,                 1.2531,                 2.2315,                 1.4793,              0.0002674,              0.0002674,              0.0002674
                     76,                0.80633,                 2.2926,                 1.1319,                0.96587,                0.94772,                0.96744,                0.64628,                 1.2604,                 2.2598,                 1.4933,              0.0002575,              0.0002575,              0.0002575
                     77,                0.83032,                 2.3616,                 1.1552,                0.97975,                0.93744,                0.96809,                0.64014,                 1.2842,                 2.3283,                 1.5132,              0.0002476,              0.0002476,              0.0002476
                     78,                0.85757,                  2.411,                 1.1739,                0.98146,                0.96215,                0.98339,                0.65899,                 1.2312,                 2.2622,                  1.459,              0.0002377,              0.0002377,              0.0002377
                     79,                0.82441,                 2.3171,                 1.1552,                0.98063,                0.97031,                0.98589,                0.66916,                 1.2323,                  2.184,                 1.4629,              0.0002278,              0.0002278,              0.0002278
                     80,                0.85312,                 2.3644,                 1.1735,                0.97546,                0.97262,                0.98468,                0.67039,                 1.2254,                 2.2145,                 1.4455,              0.0002179,              0.0002179,              0.0002179
                     81,                0.84143,                 2.4099,                  1.167,                0.98503,                0.96755,                0.98548,                0.66427,                 1.2485,                 2.2683,                 1.4757,               0.000208,               0.000208,               0.000208
                     82,                0.83668,                  2.391,                 1.1672,                0.97968,                0.96367,                0.98296,                0.66693,                 1.2304,                  2.209,                 1.4663,              0.0001981,              0.0001981,              0.0001981
                     83,                0.84217,                 2.3143,                 1.1615,                0.98314,                0.95612,                0.98495,                0.66696,                 1.2372,                   2.26,                 1.4775,              0.0001882,              0.0001882,              0.0001882
                     84,                0.84284,                 2.3501,                 1.1666,                0.98145,                0.95436,                0.98295,                0.65925,                 1.2508,                 2.2328,                 1.4853,              0.0001783,              0.0001783,              0.0001783
                     85,                0.81511,                  2.326,                 1.1525,                0.96946,                0.95768,                0.97679,                0.65249,                 1.2787,                 2.2046,                 1.4963,              0.0001684,              0.0001684,              0.0001684
                     86,                 0.8168,                 2.2767,                 1.1559,                0.96889,                0.95682,                 0.9678,                 0.6425,                 1.2728,                 2.2489,                 1.5107,              0.0001585,              0.0001585,              0.0001585
                     87,                0.80528,                 2.2818,                 1.1492,                0.98438,                0.95475,                0.97903,                0.65165,                 1.2588,                 2.2077,                 1.4853,              0.0001486,              0.0001486,              0.0001486
                     88,                0.81694,                 2.3063,                 1.1357,                0.97059,                0.96137,                0.97696,                0.65147,                 1.2445,                  2.249,                 1.4831,              0.0001387,              0.0001387,              0.0001387
                     89,                0.80809,                 2.2633,                 1.1407,                0.97789,                0.96793,                0.98226,                0.66349,                 1.2273,                 2.1731,                 1.4606,              0.0001288,              0.0001288,              0.0001288
                     90,                0.80063,                 2.2534,                 1.1342,                0.97725,                0.97009,                0.98121,                0.66466,                 1.2351,                 2.1668,                 1.4603,              0.0001189,              0.0001189,              0.0001189
                     91,                0.80127,                 2.4131,                 1.1937,                0.97808,                0.95061,                0.98153,                0.66144,                 1.2304,                 2.2858,                 1.4639,               0.000109,               0.000109,               0.000109
                     92,                0.79546,                 2.3511,                 1.1867,                0.96886,                0.94049,                0.96657,                 0.6391,                 1.2788,                 2.2353,                  1.519,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.77779,                 2.2628,                 1.1662,                0.96876,                0.96241,                   0.98,                 0.6522,                 1.2317,                 2.3005,                 1.4813,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.78117,                 2.2332,                 1.1741,                0.97651,                0.93289,                0.96447,                 0.6355,                 1.2753,                 2.2982,                 1.5293,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.76043,                 2.2425,                 1.1623,                0.98161,                0.93236,                0.96477,                0.63625,                  1.276,                 2.2592,                 1.5278,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.78109,                 2.3089,                 1.1799,                 0.9678,                 0.9604,                0.97518,                0.64718,                 1.2606,                 2.2397,                 1.4971,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.76093,                 2.2596,                 1.1784,                0.98125,                0.93958,                0.97013,                0.64473,                 1.2632,                 2.2637,                 1.5116,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.76596,                 2.1384,                 1.1512,                0.97687,                0.92807,                0.96282,                0.64175,                  1.262,                 2.2317,                 1.5082,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.75107,                 2.1419,                  1.168,                0.97495,                0.94094,                0.96754,                 0.6427,                 1.2785,                  2.226,                 1.5228,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                  0.732,                 2.1213,                 1.1595,                 0.9804,                0.93623,                0.96424,                0.64061,                 1.2769,                 2.2156,                 1.5209,               1.99e-05,               1.99e-05,               1.99e-05
